表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
OSI参照モデル,7層モデル,ネットワークプロトコルを7つの階層に分けたモデル,OSI基本参照モデル,ISO標準,物理層からアプリケーション層まで7階層で通信機能を整理
物理層,第1層・ビット伝送,電気信号や光信号でビットを伝送する層,Physical Layer,ケーブル・コネクタ,0と1のビット列を電気や光の信号に変換して伝送
データリンク層,第2層・フレーム伝送,隣接ノード間でフレーム単位のデータ伝送を行う層,Data Link Layer,MACアドレス・スイッチ,エラー検出・再送制御。イーサネットが代表例
ネットワーク層,第3層・経路制御,エンドツーエンドの経路制御を行う層,Network Layer,IPアドレス・ルータ,パケットの宛先までの経路選択。IPプロトコルが代表
トランスポート層,第4層・信頼性確保,エンドツーエンドで信頼性のある通信を提供する層,Transport Layer,TCP・UDP・ポート番号,データの順序制御や再送制御。プロセス間通信を実現
セッション層,第5層・通信管理,通信の開始・終了やデータの同期を管理する層,Session Layer,セッション管理,アプリケーション間の対話を制御
プレゼンテーション層,第6層・データ形式,データの表現形式を管理する層,Presentation Layer,文字コード・暗号化・圧縮,データフォーマットの変換や暗号化を担当
アプリケーション層,第7層・アプリ通信,アプリケーションに特化した通信サービスを提供する層,Application Layer,HTTP・FTP・SMTP,ユーザアプリケーションにネットワークサービスを提供
TCP/IP,インターネットプロトコル群,インターネットで使用される標準プロトコル群,TCP/IPプロトコルスタック,4層モデル,OSI参照モデルを簡略化した実用的なモデル
TCP,信頼性のある通信,コネクション型で信頼性の高い通信プロトコル,Transmission Control Protocol,3ウェイハンドシェイク,順序制御・再送制御・フロー制御で確実なデータ転送
UDP,高速だが信頼性なし,コネクションレス型で高速な通信プロトコル,User Datagram Protocol,リアルタイム通信向き,オーバーヘッドが少ない。動画配信やDNSで使用
IP,インターネットプロトコル,パケットをエンドツーエンドで転送するプロトコル,Internet Protocol,IPv4・IPv6,ベストエフォート型。経路制御を担当
IPv4,32ビットアドレス,32ビットのIPアドレスを使用するプロトコル,Internet Protocol version 4,約43億個のアドレス,4つのオクテットで表記（192.168.1.1）。アドレス枯渇問題
IPv6,128ビットアドレス,128ビットのIPアドレスを使用する次世代プロトコル,Internet Protocol version 6,事実上無限のアドレス,16進数で表記。IPsec標準装備
IPアドレス,ネットワーク上の住所,ネットワーク上の機器を識別するアドレス,IP Address,グローバル・プライベート,ネットワーク部とホスト部で構成。一意性が重要
MACアドレス,物理アドレス,ネットワーク機器に固有の物理アドレス,Media Access Control Address,48ビット・16進数12桁,製造時に割り当てられる一意のアドレス。ベンダーコード含む
サブネットマスク,ネットワーク部特定,IPアドレスのネットワーク部とホスト部を識別,Subnet Mask,255.255.255.0など,ビット演算でネットワークアドレスを算出
CIDR,アドレス効率化,クラスレスなIPアドレス割り当て方式,Classless Inter-Domain Routing,/24などスラッシュ表記,IPアドレスの無駄を削減。可変長サブネットマスク
NAT,アドレス変換,プライベートIPとグローバルIPを変換する技術,Network Address Translation,IPアドレス節約,1つのグローバルIPで複数の内部機器がインターネット接続
NAPT,ポート番号も変換,IPアドレスとポート番号を変換する技術,Network Address Port Translation,IPマスカレード,複数の内部機器が同時にインターネット接続可能
DHCP,自動IP割当,IPアドレスを自動的に割り当てるプロトコル,Dynamic Host Configuration Protocol,リース期間設定,IPアドレス・サブネットマスク・ゲートウェイを自動設定
DNS,名前解決,ドメイン名とIPアドレスを相互変換するシステム,Domain Name System,階層型分散データベース,www.example.com を IPアドレスに変換
HTTP,Web通信プロトコル,WebブラウザとWebサーバ間の通信プロトコル,HyperText Transfer Protocol,ポート80・ステートレス,GET・POST・PUT・DELETEなどのメソッド
FTP,ファイル転送,ファイルを転送するためのプロトコル,File Transfer Protocol,ポート20/21,制御用とデータ転送用の2つのコネクション使用
SMTP,メール送信,電子メールを送信するプロトコル,Simple Mail Transfer Protocol,ポート25/587,メールサーバ間およびクライアントからサーバへの送信
POP3,メール受信,メールサーバからメールを取得するプロトコル,Post Office Protocol version 3,ポート110,メールをダウンロードして削除
IMAP,メール管理,メールサーバ上でメールを管理するプロトコル,Internet Message Access Protocol,ポート143,メールをサーバに残したまま管理
SSH,暗号化リモート接続,暗号化された安全なリモート接続プロトコル,Secure Shell,ポート22,telnetの安全な代替。公開鍵認証対応
ポート番号,サービス識別番号,アプリケーションを識別する番号,Port Number,0-65535,ウェルノウンポート（0-1023）・登録済み（1024-49151）・動的（49152-65535）
ルータ,経路選択機器,異なるネットワーク間でパケットを転送する機器,Router,レイヤ3機器,ルーティングテーブルに基づいて最適経路を選択
スイッチ,フレーム転送機器,MACアドレスを見てフレームを転送する機器,Layer 2 Switch,レイヤ2機器,MACアドレステーブルで宛先を学習。コリジョンドメイン分割
ハブ,信号中継機器,受信した信号をすべてのポートに転送する機器,Hub,レイヤ1機器,リピータハブ。現在はスイッチが主流
ゲートウェイ,ネットワーク出入口,異なるネットワークやプロトコルを接続する機器,Gateway,デフォルトゲートウェイ,通常はルータ。プロトコル変換も可能
プロキシサーバ,代理サーバ,クライアントの代理でインターネットアクセスする,Proxy Server,キャッシュ・フィルタリング,セキュリティ向上とキャッシュによる高速化
ロードバランサ,負荷分散装置,複数のサーバに処理を分散する装置,Load Balancer,ラウンドロビン・最小接続数,サーバの負荷を均等化。可用性向上
VLAN,仮想LAN,物理的な接続に依存しない論理的なLAN,Virtual LAN,ポートVLAN・タグVLAN,スイッチで論理的にネットワークを分割
QoS,通信品質制御,ネットワークの通信品質を保証する技術,Quality of Service,帯域保証・優先制御,音声や動画などリアルタイム通信の品質確保
帯域幅,通信容量,単位時間あたりに転送できるデータ量,Bandwidth,bps（bits per second）,通信速度の指標。広いほど高速
レイテンシ,遅延時間,データが宛先に到達するまでの遅延時間,Latency,往復遅延時間（RTT）,ネットワーク性能の重要指標
パケット,データの単位,ネットワークで送受信されるデータの単位,Packet,ヘッダ＋ペイロード,IPヘッダには送信元・宛先IPアドレスなどを格納
フレーム,データリンク層の単位,データリンク層で扱うデータの単位,Frame,プリアンブル＋ヘッダ＋データ＋FCS,イーサネットフレームが代表例
MTU,最大転送単位,一度に転送できる最大データサイズ,Maximum Transmission Unit,イーサネット1500バイト,これを超えるとフラグメンテーション発生
ルーティング,経路選択,パケットの転送経路を決定すること,Routing,静的・動的ルーティング,ルーティングテーブルに基づく経路決定
ルーティングプロトコル,経路情報交換,ルータ間で経路情報を交換するプロトコル,Routing Protocol,RIP・OSPF・BGP,動的にルーティングテーブルを更新
ARP,アドレス解決,IPアドレスからMACアドレスを取得するプロトコル,Address Resolution Protocol,ARPテーブル,同一セグメント内での通信に必要
ICMP,制御メッセージ,エラーや制御情報を通知するプロトコル,Internet Control Message Protocol,ping・traceroute,ネットワーク診断に使用
CDN,コンテンツ配信網,コンテンツを効率的に配信するネットワーク,Content Delivery Network,エッジサーバ,地理的に分散したサーバでコンテンツをキャッシュ
SDN,ソフトウェア定義ネットワーク,ソフトウェアでネットワークを制御する技術,Software-Defined Networking,OpenFlow,制御プレーンとデータプレーンを分離
